left,keyword,right
tarento raymond count of thoulouse hugh count of vermandois peter,the,hermit odo armour bearer to tancred hafez a guard brother
bearer to tancred hafez a guard brother to odo phirouz,the,traitor kilidge arslan sultan of rohum called in the christian
phirouz the traitor kilidge arslan sultan of rohum called in,the,christian army sultan soliman guards soldiers c sultana wife of
soliman guards soldiers c sultana wife of kilidge arslan ra,the,first crusade 1097 scene partly in the christian camp before
kilidge arslan ra the first crusade 1097 scene partly in,the,christian camp before antioch and partly at port st simeon
jan 1827 dear sir it is with pleasure i embrace,the,opportunity you give me of acknowledging the favour conferred by
pleasure i embrace the opportunity you give me of acknowledging,the,favour conferred by offering to my perusal your manuscript of
by offering to my perusal your manuscript of tancred or,the,siege of antioch i am no critic therefore shall not
presume to analyze its merits nor particularize its beauties admiration,the,story is classical the language elegant and its effect perfectly
merits nor particularize its beauties admiration the story is classical,the,language elegant and its effect perfectly dramatic nor is it
is it deficient in originality of character its success in,the,closet is certain and i hope to see it on
closet is certain and i hope to see it on,the,stage greeted with the warm approbation of a judicious and
i hope to see it on the stage greeted with,the,warm approbation of a judicious and candid audience with every
earnest wish for tancred i remain yours j jefferson to,the,author dedication to joseph jefferson esq comedian you see sir
esq comedian you see sir i have dared to tell,the,world that you stood godfather to my bantling should the
the world that you stood godfather to my bantling should,the,brat be strangled in the cradle you will be relieved
godfather to my bantling should the brat be strangled in,the,cradle you will be relieved from any further responsibility and
i from any future anxiety for your friendly wishes for,the,success of tancred be pleased to accept the sincere thanks
wishes for the success of tancred be pleased to accept,the,sincere thanks of the author main text act i scene
of tancred be pleased to accept the sincere thanks of,the,author main text act i scene i the emperour 's
